Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBA PER,Classification,Classification2
Elfrid Payton,Sun Belt,35,34,35.9,6.8,13.3,0.509,6.4,11.8,0.541,0.4,1.5,0.259,5.3,8.6,0.609,2.3,3.7,6,5.9,2.3,0.6,3.6,2.4,19.2,-0.28,15.3,3,3
Tyler Ennis,ACC,34,34,35.7,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2,12.9,7.25,10.3,4,5
Shabazz Napier,AAC,40,40,35.1,5.3,12.4,0.429,3.2,7,0.448,2.2,5.4,0.405,5.2,6,0.87,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,8.63,13,3,4
Spencer Dinwiddle,Pac-12,17,17,31.1,3.6,7.7,0.466,2.1,4,0.515,1.5,3.7,0.413,6,7,0.857,0.5,2.6,3.1,3.8,1.5,0.2,1.8,1.9,14.7,8.8,15.5,3,3
Nick Johnson,Pac-12,38,38,33.1,5.4,12.5,0.432,3.8,8,0.469,1.6,4.4,0.367,3.8,4.9,0.781,0.8,3.2,4.1,2.8,1.1,0.7,1.7,2,16.3,9.04,4.8,4,5
Jordan Clarkson,SEC,35,35,35.1,6,13.3,0.448,5.1,10.1,0.501,0.9,3.3,0.281,4.6,5.6,0.831,0.8,3,3.8,3.4,1.1,0.2,2.7,2.2,17.5,6.86,15.6,3,3
Russ Smith,AAC,37,36,29.3,6.1,13,0.468,4.2,8.1,0.517,1.9,4.9,0.387,4.1,5.9,0.705,0.8,2.5,3.3,4.6,2,0.1,2.8,2.5,18.2,4.8,7.8,4,5
Semaj Christon ,Big East,34,34,35.3,5.9,12.4,0.479,5.4,10.9,0.491,0.6,1.4,0.388,4.6,6.9,0.668,0.4,2.2,2.7,4.2,1.3,0.2,2.6,2.1,17,8.14,5.7,4,5
D'Angelo Russell,Big Ten,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,7.37,16.4,2,3
Cameron Payne,OVC,35,35,32.2,7,15.3,0.456,4.6,9,0.513,2.4,6.4,0.377,3.8,4.8,0.787,0.6,3.1,3.7,6,1.9,0.5,2.5,2.1,20.2,-2.81,11.4,4,4
Terry Rozier,ACC,36,35,35,5.9,14.5,0.411,4.6,10.1,0.456,1.3,4.4,0.306,3.9,4.9,0.79,1.2,4.4,5.6,3,2,0.2,2.2,1.7,17.1,8.98,13.4,3,4
Jerian Grant,ACC,38,38,37.1,5.4,11.2,0.478,4.1,7.1,0.572,1.3,4.2,0.316,4.5,5.7,0.78,0.3,2.7,3,6.7,1.7,0.5,2.2,2,16.5,7.02,12.6,4,4
Delon Wright,Pac-12,35,35,33.3,4.7,9.3,0.509,4,7.2,0.554,0.7,2.1,0.356,4.4,5.2,0.836,1,4,4.9,5.1,2.1,1,1.9,1.4,14.5,7.42,16,2,3
Tyus Jones,ACC,39,39,33.9,3.5,8.3,0.417,2.3,5.1,0.44,1.2,3.2,0.379,3.7,4.2,0.889,0.5,3,3.5,5.6,1.5,0.1,1.9,1.2,11.8,9.87,14,3,4
Joe Young,Pac-12,36,35,36.7,7.4,16.4,0.448,4.8,9.4,0.516,2.5,7.1,0.357,3.4,3.7,0.925,0.5,3.9,4.4,3.8,1.1,0,2.4,1.4,20.7,7.65,10.2,4,5
Ben Simmons,SEC,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,7,20.2,1,1
Kris Dunn,Big East,33,32,33,5.6,12.5,0.448,4.3,9,0.477,1.3,3.4,0.372,4,5.8,0.695,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8,16.4,8.46,11.9,4,4
Jamal Murray,SEC,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,8.84,15.5,3,3
Wade Baldwin,SEC,33,30,30.4,4.1,9.6,0.427,2.8,6.5,0.437,1.2,3.1,0.406,4.7,5.9,0.799,0.4,3.6,4,5.2,1.2,0.3,2.8,2.6,14.1,8.68,7.1,4,5
Dejounte Murray,Pac-12,34,34,33.5,5.9,14.3,0.416,4.9,10.8,0.457,1,3.5,0.288,3.2,4.9,0.663,1.4,4.6,6,4.4,1.8,0.3,3.2,2.6,16.1,8.12,15.4,3,3
